run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
173,3,omelette,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,3130.033099994762,0,1,1,[403]
174,3,omelette,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3220.1760999741964,0,1,1,[403]
175,3,ramen,main,bbc,BBC Food,ok,1,1,0,2867.021799989743,0,0,0,[200]
176,3,ramen,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4081.2670000013895,0,1,1,[403]
177,3,ramen,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3133.4486000123434,0,1,1,[403]
178,3,stir fry,main,bbc,BBC Food,ok,1,1,0,2610.999399999855,0,0,0,[200]
179,3,stir fry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3645.1536000240594,0,1,1,[403]
180,3,stir fry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3579.418400011491,0,1,1,[403]
181,4,chicken curry,main,bbc,BBC Food,ok,1,1,0,2469.0370000025723,0,0,0,[200]
182,4,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3575.9138999856077,0,1,1,[403]
183,4,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5264.1010000079405,0,1,1,[403]
184,4,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2296.6234000050463,0,0,0,[200]
185,4,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3216.208900004858,0,1,1,[403]
186,4,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3417.884700000286,0,1,1,[403]
187,4,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,2374.6689000108745,0,0,0,[200]
188,4,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3375.0522999907844,0,1,1,[403]
189,4,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,5040.116399992257,0,1,1,[403]
190,4,beef stew,main,bbc,BBC Food,ok,1,1,0,1910.1432000170462,0,0,0,[200]
191,4,beef stew,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,5379.245299991453,0,1,1,[403]
192,4,beef stew,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4282.837800012203,0,1,1,[403]
193,4,mushroom soup,main,bbc,BBC Food,ok,1,1,0,1670.76080001425,0,0,0,[200]
194,4,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3363.4933999856003,0,1,1,[403]
195,4,mushroom soup,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4932.7709000208415,0,1,1,[403]
196,4,salmon,main,bbc,BBC Food,ok,1,1,0,3119.7970999928657,0,0,0,[200]
197,4,salmon,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3387.550999992527,0,1,1,[403]
198,4,salmon,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3169.3069999746513,0,1,1,[403]
199,4,lentil dal,main,bbc,BBC Food,ok,1,1,0,2913.2721000059973,0,0,0,[200]
200,4,lentil dal,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3625.5532999930438,0,1,1,[403]
201,4,lentil dal,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4161.633199983044,0,1,1,[403]
202,4,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2220.096100005321,0,0,0,[200]
203,4,apple pie,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3753.895600006217,0,1,1,[403]
204,4,apple pie,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3350.666899990756,0,1,1,[403]
205,4,lasagne,main,bbc,BBC Food,ok,1,1,0,3106.6717999929097,0,0,0,[200]
206,4,lasagne,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,5044.644400011748,0,1,1,[403]
207,4,lasagne,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5402.842899988173,0,1,1,[403]
208,4,thai curry,main,bbc,BBC Food,ok,1,1,0,2219.3534999969415,0,0,0,[200]
209,4,thai curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3421.053199999733,0,1,1,[403]
210,4,thai curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3624.0740999928676,0,1,1,[403]
211,4,brownies,dessert,bbc,BBC Food,ok,1,1,0,2336.17840000079,0,0,0,[200]
212,4,brownies,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3721.924299985403,0,1,1,[403]
213,4,brownies,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3428.25840000296,0,1,1,[403]
214,4,risotto,main,bbc,BBC Food,ok,1,1,0,3440.092100005131,0,0,0,[200]
215,4,risotto,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4031.12259999034,0,1,1,[403]
216,4,risotto,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3173.8777999999,0,1,1,[403]
217,4,vegan burger,main,bbc,BBC Food,ok,1,1,0,2094.2308000230696,0,0,0,[200]
218,4,vegan burger,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3019.015899975784,0,1,1,[403]
219,4,vegan burger,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3769.2472000198904,0,1,1,[403]
220,4,banana bread,dessert,bbc,BBC Food,ok,1,1,0,3311.28439999884,0,0,0,[200]
221,4,banana bread,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,4851.7484000185505,0,1,1,[403]
222,4,banana bread,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3487.1011000068393,0,1,1,[403]
223,4,roast chicken,main,bbc,BBC Food,ok,1,1,0,1866.3540999987163,0,0,0,[200]
224,4,roast chicken,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3088.007199985441,0,1,1,[403]
225,4,roast chicken,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3911.9457000051625,0,1,1,[403]
226,4,tacos,main,bbc,BBC Food,ok,1,1,0,2860.859000007622,0,0,0,[200]
227,4,tacos,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,5416.750700009288,0,1,1,[403]
228,4,tacos,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3582.549399987329,0,1,1,[403]
229,4,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,1673.8358999718912,0,0,0,[200]
230,4,pancakes,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,3339.9379000184126,0,1,1,[403]
231,4,pancakes,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3908.021800016286,0,1,1,[403]
232,4,omelette,breakfast,bbc,BBC Food,ok,1,1,0,3058.496899990132,0,0,0,[200]
233,4,omelette,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,3964.0654000104405,0,1,1,[403]
234,4,omelette,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3837.7235000079963,0,1,1,[403]
235,4,ramen,main,bbc,BBC Food,ok,1,1,0,1728.4676000126638,0,0,0,[200]
236,4,ramen,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3786.983900004998,0,1,1,[403]
237,4,ramen,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3964.3741000036243,0,1,1,[403]
